word,count
กสท.,3000
ลูกทอย,46
ปลายลิ้น,3983
ลานตา,6070
โพศรีมหาโพธิ,4
ผู้เขียนบทภาพยนตร์,514
ไวสัมผัส,120
คลื่นเหียน,340
ปริภาษณ์,1
พรายกระซิบ,784
สุมะ,930
กร้วม,101
เกลือฟอง,0
ขายเงินสด,1269
หลงลืม,9016
รีเฟลกซ์,251
อัมพิละ,1
ซาวน้ำ,731
อาพาธิก,26
งุงิ,1912
เฉพาะเรื่อง,22364
ปะมง,27
อัลกุรอาน,18458
โอ้ย,10312
ไก่กอและ,359
พิเภก,1040
จักร,1657179
ย่องกริบ,5
รู้ถึงหู,121
กินรี,4415
หมดบุญ,491
ไตร่ตรอง,19263
แม่สี,3025
ฉลองพระบาท,322
ชันสูตร,8808
เสียวฟัน,4053
จองเวรจองกรรม,198
หม่ำ,45265
แชงกรีลา,799
ปอมข่าง,2
กลุ่มอายุ,10131
กรูด,35689
อีเมล,885237
ส้มเช้ง,1121
ปวิตร,516
กะโซ่,88
ป่อง,11225
ชยันตี,1111
หักลำ,159
ปาลิไลยก์,158
ไม่เอาความ,931
พื้นเสีย,487
ท้ายฝน,30
การแปร,52754
อัลทิเมท,587
ผึ้ง,194589
หอมกรุ่น,22116
ตรีผลธาตุ,4
ฟุดฟิด,258
ยาเป่า,117
มล้า,40767
เจริญเติบโต,100799
บั้นเอว,1557
กระวน,4925
ต๊อด,1630
ตารางไมล์,1595
เครื่องร้อน,3235
ทิศอีสาน,96
หมอน้อย,268
กรรกฎ,8
ไล่ตาม,27820
ดุริย,11190
กระทั่งติด,872
ค่าเรือ,1835
จับกลุ่ม,6137
แท้งลูก,1541
ตามเวลา,77472
ย่านลิเภา,456
ขจุย,52
พิพักพิพ่วน,19
หมาเห็นข้าวเปลือก,2
กฎจราจร,4239
หุ้นบุริมสิทธิ,1335
เอ็มไอ,4166
กรมอนามัย,23960
ลับตา,29902
หักหลัง,10708
นาปี,3810
ผู้โดยสารทางเรือ,13
ขึ้นพลับพลากลาง,0
ปัดสวะ,48
หงะ,851
อบไอน้ำ,6729
ใบหยก,8006
ย่อยยับ,2544
สะอึกเข้าใส่,3
ทำเบ่ง,23
ฝังใน,4460
เลกซัส,2376
ปากแม่น้ำ,4209
นายร้อย,11244
สาวิตรี,4416
ประโมง,44
ผ้าขี้ริ้วห่อทอง,175
ผีเสื้อเงิน,23
ระบบไหลเวียน,5687
สวนลุม,7068
รสจืด,8240
อ้องแอ้ง,2
ยูเรต,196
ปริวรรต,2087
นักพรต,4580
ผู้ชำนาญ,33564
ละอ่อน,16532
ไสยเวท,1664
สูญสิ้น,3416
มันตา,8838
บรรลุเป้าหมาย,99507
เล็ปโตสไปโรซิส,25
ไพศาข,38
ไม้กอล์ฟ,4938
คีเวอร์ด,0
เมาลี,415
ยกบัตร,231
ว่าไม่ไว้หน้า,6
ง่วงงุน,199
